region,date,value
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2002-12-31,170200
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2013-12-31,1983000
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2005-12-31,394000
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2004-12-31,294900
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2015-12-31,1534300
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2006-12-31,585200
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2000-12-31,96300
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2003-12-31,224600
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2001-12-31,122200
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2011-12-31,1611900
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2014-12-31,1848900
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2012-12-31,1764400
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2009-12-31,937400
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2008-12-31,1075900
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2007-12-31,794700
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2010-12-31,1236500
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2016-12-31,1701100
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2017-12-31,1839000
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2018-12-31,2088400
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2019-12-31,2289100
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2021-12-31,2345100
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2020-12-31,2033300
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2004-12-31,226700
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2006-12-31,357800
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2003-12-31,207100
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2000-12-31,100400
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2015-12-31,1467200
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2002-12-31,162200
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2001-12-31,141700
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2013-12-31,1298200
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2011-12-31,1136700
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2005-12-31,277900
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2014-12-31,1386600
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2012-12-31,1168600
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2009-12-31,625500
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2008-12-31,619000
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2007-12-31,487400
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2010-12-31,790100
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2016-12-31,1621000
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2017-12-31,1985900
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2018-12-31,2177700
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2019-12-31,2505900
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2021-12-31,3313800
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2020-12-31,2877700
КОСТАНАЙСКАЯ ОБЛАСТЬ,2011-12-31,1288200
КОСТАНАЙСКАЯ ОБЛАСТЬ,2015-12-31,1561700
КОСТАНАЙСКАЯ ОБЛАСТЬ,2013-12-31,1531500
КОСТАНАЙСКАЯ ОБЛАСТЬ,2002-12-31,199600
КОСТАНАЙСКАЯ ОБЛАСТЬ,2003-12-31,256500
КОСТАНАЙСКАЯ ОБЛАСТЬ,2006-12-31,429500
КОСТАНАЙСКАЯ ОБЛАСТЬ,2005-12-31,356500
КОСТАНАЙСКАЯ ОБЛАСТЬ,2001-12-31,181200
КОСТАНАЙСКАЯ ОБЛАСТЬ,2000-12-31,163100
КОСТАНАЙСКАЯ ОБЛАСТЬ,2004-12-31,299100
КОСТАНАЙСКАЯ ОБЛАСТЬ,2014-12-31,1583100
КОСТАНАЙСКАЯ ОБЛАСТЬ,2012-12-31,1308000
КОСТАНАЙСКАЯ ОБЛАСТЬ,2009-12-31,815300
КОСТАНАЙСКАЯ ОБЛАСТЬ,2008-12-31,789700
КОСТАНАЙСКАЯ ОБЛАСТЬ,2007-12-31,624500
КОСТАНАЙСКАЯ ОБЛАСТЬ,2010-12-31,970800
КОСТАНАЙСКАЯ ОБЛАСТЬ,2016-12-31,1727000
КОСТАНАЙСКАЯ ОБЛАСТЬ,2017-12-31,2108900
КОСТАНАЙСКАЯ ОБЛАСТЬ,2018-12-31,2367100
КОСТАНАЙСКАЯ ОБЛАСТЬ,2019-12-31,2815900
КОСТАНАЙСКАЯ ОБЛАСТЬ,2021-12-31,4082800
КОСТАНАЙСКАЯ ОБЛАСТЬ,2020-12-31,3314500
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2006-12-31,838600
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2013-12-31,2868100
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2003-12-31,333100
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2001-12-31,249500
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2004-12-31,589800
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2015-12-31,2699600
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2000-12-31,195500
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2002-12-31,296700
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2011-12-31,2225400
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2005-12-31,659800
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2014-12-31,3170400
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2012-12-31,2865900
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2009-12-31,1324200
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2008-12-31,1339400
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2007-12-31,1006200
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2010-12-31,1730400
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2016-12-31,3179800
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2017-12-31,3628400
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2018-12-31,4295800
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2019-12-31,4501200
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2021-12-31,5323600
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2020-12-31,4151200
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2006-12-31,187600
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2013-12-31,791300
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2005-12-31,161700
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2000-12-31,88300
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2015-12-31,891100
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2003-12-31,145800
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2011-12-31,583000
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2002-12-31,117100
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2004-12-31,142700
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2001-12-31,114100
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2014-12-31,868900
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2012-12-31,705100
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2009-12-31,384800
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2008-12-31,310400
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2007-12-31,265200
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2010-12-31,474600
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2016-12-31,975300
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2017-12-31,1097700
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2006-12-31,621300
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2011-12-31,2036700
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2013-12-31,2341300
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2015-12-31,2293100
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2000-12-31,214400
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2003-12-31,359700
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2005-12-31,516600
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2004-12-31,449000
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2001-12-31,266200
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2002-12-31,286900
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2014-12-31,2315800
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2012-12-31,2032800
